ID,PRODUCT,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
316,SEMIREALISTIC 2,False,False,False,True,False,True,False,False
317,Vibrador para testículos NIDO,False,False,False,False,False,True,False,False
318,LOKOMA,False,False,False,False,False,False,True,False
319,FTM Packer discreto pene suavísimo sin circuncidar,True,False,True,False,False,False,True,False
320,CRISTALINO MINI G,False,True,False,True,False,True,False,False
321,MiNube Boy AVANTI,False,False,False,False,False,False,False,False
322,MINI MASSAJI,False,False,False,False,False,True,False,False
323,ALENTO,False,False,False,True,False,True,False,False
324,Bacanal MINT,True,True,False,False,False,False,False,False
325,RUBI,True,False,False,False,False,False,False,False
326,SOFFA KIT,False,False,False,False,False,False,False,True
327,Pantis de rejilla amantis Mod,False,False,False,False,False,False,True,False
328,COSQUI,False,False,False,False,False,False,False,False
329,LINGÜS,False,False,False,True,False,True,False,False
330,BadCat,False,False,False,False,False,False,False,False
331,Seda•T mini,True,False,False,False,True,True,False,False
332,Kit Aquamar 3 en 1,False,False,False,False,False,True,False,False
333,Azotador ligero de polipiel de 50cm,False,False,True,False,False,False,False,False
334,Collar con correa de cuero rosa,False,False,True,False,False,False,False,False
335,Perfect_Pelvic: Kit de bolas chinas UNO/DUO con peso ajustable,False,False,False,True,False,False,False,False
336,Montura sexual amantis,False,False,True,False,False,False,False,False
337,Ducha Anal con Pera de gran capacidad,True,True,False,False,False,False,False,False
338,TOK VOLO,False,False,False,True,True,False,False,False
339,BOCATTO Mordaza Sexual transpirable con orificios,False,False,True,False,False,False,False,False
340,AVATAR GUSSI,False,False,True,True,False,True,False,False
341,QUIMERE,True,False,False,True,True,True,False,False
342,MINI MOULIN,True,False,False,False,False,True,False,False
343,La Bocca de la Veritá,True,False,False,False,False,False,False,False
344,GK POWER GROSSO,True,False,False,False,False,False,False,False
345,KIT TETTINE,False,False,False,False,False,True,False,False
346,ARTEMISIA TRAMA,False,False,False,True,False,False,False,False
347,PORN CUBEX,False,False,False,False,False,False,False,False
348,TANIT,False,False,False,False,False,False,True,False
349,Catsuit BRAD,False,False,True,True,True,False,True,False
350,ODÍN,False,False,True,False,False,False,True,False
351,BLUE VALENTINE,False,False,True,False,False,False,False,False
352,BONDY,False,False,True,False,False,False,False,False
353,MARSHMALLOW,False,False,False,True,False,True,False,False
354,T ANAL,False,True,False,True,True,True,False,False
355,Estuche de amantis en tres colores,False,False,False,False,False,True,False,False
356,Pilas para tu TOK1,False,False,False,False,False,False,False,False
